"export-plot data (NetLogo 5.3.1)"
"modèle SIEGMAS  V1.5 SEPT 2016.nlogo"
"09/15/2016 17:31:24:160 +0400"

"MODEL SETTINGS"
"forest%","nbnaturalresources","g_debug?","g_sizerate","g_diffusion-rate","g_sizeratedyn","nbmanagers","sce_social","sce_envi","agriculture%","territory","devianceleveltoshow","nbiterate","g_plotrate","nbexploitations","sce_eco","nboperators","nbexternalhelps"
"41","26","false","69","2","80","22","0.4","-0.7","98","""La Reunion""","40","100","1","71","0.3","60","10"

"""Agent ID5"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","116","-44","110","true","""money""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""deviance""","true","0","1","45","100"
"""knowledge""","true","0","1","105","100"
"""influence""","true","0","1","5","100"
"""money""","false","0","1","25","100"

"""deviance""",,,,"""knowledge""",,,,"""influence""",,,,"""money"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","8","45","true","0","32.5","105","true","0","16","5","true","0","91722","25","false"
"1","8","45","true","1","32.5","105","true","1","16","5","true","1","91722","25","false"
"2","4","45","true","2","32.5","105","true","2","18","5","true","2","91722","25","false"
"3","1","45","true","3","32.5","105","true","3","19.5","5","true","3","91722","25","false"
"4","0","45","true","4","32.5","105","true","4","20","5","true","4","96803.795","25","false"
"5","100","45","true","5","32.5","105","true","5","-30","5","true","5","96803.795","25","false"
"6","99","45","true","6","32.5","105","true","6","-29.5","5","true","6","96803.795","25","false"
"7","94","45","true","7","32.5","105","true","7","-27","5","true","7","96803.795","25","false"
"8","94","45","true","8","32.5","105","true","8","-27","5","true","8","95234.0875","25","false"
"9","91","45","true","9","32.5","105","true","9","-25.5","5","true","9","95234.0875","25","false"
"10","86","45","true","10","32.5","105","true","10","-23","5","true","10","95234.0875","25","false"
"11","84","45","true","11","32.5","105","true","11","-22","5","true","11","95234.0875","25","false"
"12","83","45","true","12","32.5","105","true","12","-21.5","5","true","12","102024.54","25","false"
"13","78","45","true","13","32.5","105","true","13","-19","5","true","13","102024.54","25","false"
"14","78","45","true","14","32.5","105","true","14","-19","5","true","14","102024.54","25","false"
"15","79","45","true","15","32.5","105","true","15","-19.5","5","true","15","102024.54","25","false"
"16","82","45","true","16","32.5","105","true","16","-21","5","true","16","107673.1775","25","false"
"17","84","45","true","17","32.5","105","true","17","-22","5","true","17","107673.1775","25","false"
"18","85","45","true","18","32.5","105","true","18","-22.5","5","true","18","107673.1775","25","false"
"19","85","45","true","19","32.5","105","true","19","-22.5","5","true","19","107673.1775","25","false"
"20","80","45","true","20","32.5","105","true","20","-20","5","true","20","112596.675","25","false"
"21","82","45","true","21","32.5","105","true","21","-21","5","true","21","112596.675","25","false"
"22","84","45","true","22","32.5","105","true","22","-22","5","true","22","112596.675","25","false"
"23","85","45","true","23","32.5","105","true","23","-22.5","5","true","23","112596.675","25","false"
"24","88","45","true","24","32.5","105","true","24","-24","5","true","24","120734.2175","25","false"
"25","90","45","true","25","32.5","105","true","25","-25","5","true","25","120734.2175","25","false"
"26","92","45","true","26","32.5","105","true","26","-26","5","true","26","120734.2175","25","false"
"27","94","45","true","27","32.5","105","true","27","-27","5","true","27","120734.2175","25","false"
"28","95","45","true","28","32.5","105","true","28","-27.5","5","true","28","128995.88249999999","25","false"
"29","95","45","true","29","32.5","105","true","29","-27.5","5","true","29","128995.88249999999","25","false"
"30","97","45","true","30","32.5","105","true","30","-28.5","5","true","30","128995.88249999999","25","false"
"31","100","45","true","31","32.5","105","true","31","-30","5","true","31","128995.88249999999","25","false"
"32","100","45","true","32","32.5","105","true","32","-30","5","true","32","135712.95750000002","25","false"
"33","100","45","true","33","32.5","105","true","33","-30","5","true","33","135712.95750000002","25","false"
"34","100","45","true","34","32.5","105","true","34","-30","5","true","34","135712.95750000002","25","false"
"35","100","45","true","35","32.5","105","true","35","-30","5","true","35","135712.95750000002","25","false"
"36","100","45","true","36","32.5","105","true","36","-30","5","true","36","144910.36000000002","25","false"
"37","100","45","true","37","32.5","105","true","37","-30","5","true","37","144910.36000000002","25","false"
"38","100","45","true","38","32.5","105","true","38","-30","5","true","38","144910.36000000002","25","false"
"39","100","45","true","39","32.5","105","true","39","-30","5","true","39","144910.36000000002","25","false"
"40","100","45","true","40","32.5","105","true","40","-30","5","true","40","141855.83000000002","25","false"
"41","98","45","true","41","32.5","105","true","41","-29","5","true","41","141855.83000000002","25","false"
"42","96","45","true","42","32.5","105","true","42","-28","5","true","42","141855.83000000002","25","false"
"43","94","45","true","43","32.5","105","true","43","-27","5","true","43","141855.83000000002","25","false"
"44","91","45","true","44","32.5","105","true","44","-25.5","5","true","44","150205.845","25","false"
"45","87","45","true","45","32.5","105","true","45","-23.5","5","true","45","150205.845","25","false"
"46","87","45","true","46","32.5","105","true","46","-23.5","5","true","46","150205.845","25","false"
"47","84","45","true","47","32.5","105","true","47","-22","5","true","47","150205.845","25","false"
