"export-plot data (NetLogo 5.3.1)"
"modèle SIEGMAS  V1.5 SEPT 2016.nlogo"
"09/15/2016 17:31:24:186 +0400"

"MODEL SETTINGS"
"forest%","nbnaturalresources","g_debug?","g_sizerate","g_diffusion-rate","g_sizeratedyn","nbmanagers","sce_social","sce_envi","agriculture%","territory","devianceleveltoshow","nbiterate","g_plotrate","nbexploitations","sce_eco","nboperators","nbexternalhelps"
"41","26","false","69","2","80","22","0.4","-0.7","98","""La Reunion""","40","100","1","71","0.3","60","10"

"""Agent ID6"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","116","0","60.5","true","""money""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""deviance""","true","0","1","45","100"
"""knowledge""","true","0","1","105","100"
"""influence""","true","0","1","5","100"
"""money""","false","0","1","25","100"

"""deviance""",,,,"""knowledge""",,,,"""influence""",,,,"""money"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","55","45","true","0","32.5","105","true","0","20","5","true","0","77172","25","false"
"1","53","45","true","1","32.5","105","true","1","20","5","true","1","77172","25","false"
"2","48","45","true","2","32.5","105","true","2","20","5","true","2","77172","25","false"
"3","44","45","true","3","32.5","105","true","3","20","5","true","3","77172","25","false"
"4","44","45","true","4","32.5","105","true","4","20","5","true","4","87135.785","25","false"
"5","43","45","true","5","32.5","105","true","5","20","5","true","5","87135.785","25","false"
"6","41","45","true","6","32.5","105","true","6","20","5","true","6","87135.785","25","false"
"7","38","45","true","7","32.5","105","true","7","20","5","true","7","87135.785","25","false"
"8","38","45","true","8","32.5","105","true","8","20","5","true","8","94079.6275","25","false"
"9","38","45","true","9","32.5","105","true","9","20","5","true","9","94079.6275","25","false"
"10","35","45","true","10","32.5","105","true","10","20","5","true","10","94079.6275","25","false"
"11","33","45","true","11","32.5","105","true","11","20","5","true","11","94079.6275","25","false"
"12","32","45","true","12","32.5","105","true","12","20","5","true","12","101025.4675","25","false"
"13","32","45","true","13","32.5","105","true","13","20","5","true","13","101025.4675","25","false"
"14","32","45","true","14","32.5","105","true","14","20","5","true","14","101025.4675","25","false"
"15","28","45","true","15","32.5","105","true","15","20","5","true","15","101025.4675","25","false"
"16","23","45","true","16","32.5","105","true","16","20","5","true","16","106531.2275","25","false"
"17","19","45","true","17","32.5","105","true","17","20","5","true","17","106531.2275","25","false"
"18","16","45","true","18","32.5","105","true","18","20","5","true","18","106531.2275","25","false"
"19","15","45","true","19","32.5","105","true","19","20","5","true","19","106531.2275","25","false"
"20","12","45","true","20","32.5","105","true","20","20","5","true","20","115970.21999999999","25","false"
"21","9","45","true","21","32.5","105","true","21","20","5","true","21","115970.21999999999","25","false"
"22","4","45","true","22","32.5","105","true","22","20","5","true","22","115970.21999999999","25","false"
"23","1","45","true","23","32.5","105","true","23","20","5","true","23","115970.21999999999","25","false"
"24","0","45","true","24","32.5","105","true","24","20","5","true","24","121272.07249999998","25","false"
"25","0","45","true","25","32.5","105","true","25","20","5","true","25","121272.07249999998","25","false"
"26","0","45","true","26","32.5","105","true","26","20","5","true","26","121272.07249999998","25","false"
"27","0","45","true","27","32.5","105","true","27","20","5","true","27","121272.07249999998","25","false"
"28","0","45","true","28","32.5","105","true","28","20","5","true","28","129480.18749999997","25","false"
"29","0","45","true","29","32.5","105","true","29","20","5","true","29","129480.18749999997","25","false"
"30","0","45","true","30","32.5","105","true","30","20","5","true","30","129480.18749999997","25","false"
"31","45","45","true","31","32.5","105","true","31","20","5","true","31","129480.18749999997","25","false"
"32","40","45","true","32","32.5","105","true","32","20","5","true","32","138387.96249999997","25","false"
"33","35","45","true","33","32.5","105","true","33","20","5","true","33","138387.96249999997","25","false"
"34","34","45","true","34","32.5","105","true","34","20","5","true","34","138387.96249999997","25","false"
"35","29","45","true","35","32.5","105","true","35","20","5","true","35","138387.96249999997","25","false"
"36","29","45","true","36","32.5","105","true","36","20","5","true","36","144991.865","25","false"
"37","24","45","true","37","32.5","105","true","37","20","5","true","37","144991.865","25","false"
"38","20","45","true","38","32.5","105","true","38","20","5","true","38","144991.865","25","false"
"39","17","45","true","39","32.5","105","true","39","20","5","true","39","144991.865","25","false"
"40","15","45","true","40","32.5","105","true","40","20","5","true","40","155667.055","25","false"
"41","10","45","true","41","32.5","105","true","41","20","5","true","41","155667.055","25","false"
"42","6","45","true","42","32.5","105","true","42","20","5","true","42","155667.055","25","false"
"43","4","45","true","43","32.5","105","true","43","20","5","true","43","155667.055","25","false"
"44","0","45","true","44","32.5","105","true","44","20","5","true","44","165114.8175","25","false"
"45","0","45","true","45","32.5","105","true","45","20","5","true","45","165114.8175","25","false"
"46","0","45","true","46","32.5","105","true","46","20","5","true","46","165114.8175","25","false"
"47","0","45","true","47","32.5","105","true","47","20","5","true","47","165114.8175","25","false"
"48","0","45","true","48","32.5","105","true","48","20","5","true","48","171292.96000000002","25","false"
"49","0","45","true","49","32.5","105","true","49","20","5","true","49","171292.96000000002","25","false"
"50","22","45","true","50","32.5","105","true","50","20","5","true","50","171292.96000000002","25","false"
"51","21","45","true","51","32.5","105","true","51","20","5","true","51","171292.96000000002","25","false"
"52","18","45","true","52","32.5","105","true","52","20","5","true","52","180424.08750000002","25","false"
"53","18","45","true","53","32.5","105","true","53","20","5","true","53","180424.08750000002","25","false"
"54","16","45","true","54","32.5","105","true","54","20","5","true","54","180424.08750000002","25","false"
"55","13","45","true","55","32.5","105","true","55","20","5","true","55","180424.08750000002","25","false"
"56","8","45","true","56","32.5","105","true","56","20","5","true","56","188240.91250000003","25","false"
"57","5","45","true","57","32.5","105","true","57","20","5","true","57","188240.91250000003","25","false"
"58","1","45","true","58","32.5","105","true","58","20","5","true","58","188240.91250000003","25","false"
"59","0","45","true","59","32.5","105","true","59","20","5","true","59","188240.91250000003","25","false"
"60","0","45","true","60","32.5","105","true","60","20","5","true","60","196117.23500000004","25","false"
"61","0","45","true","61","32.5","105","true","61","20","5","true","61","196117.23500000004","25","false"
"62","0","45","true","62","32.5","105","true","62","20","5","true","62","196117.23500000004","25","false"
"63","0","45","true","63","32.5","105","true","63","20","5","true","63","196117.23500000004","25","false"
"64","0","45","true","64","32.5","105","true","64","20","5","true","64","206063.14000000004","25","false"
"65","0","45","true","65","32.5","105","true","65","20","5","true","65","206063.14000000004","25","false"
"66","0","45","true","66","32.5","105","true","66","20","5","true","66","206063.14000000004","25","false"
"67","0","45","true","67","32.5","105","true","67","20","5","true","67","206063.14000000004","25","false"
"68","0","45","true","68","32.5","105","true","68","20","5","true","68","214625.42750000005","25","false"
"69","0","45","true","69","32.5","105","true","69","20","5","true","69","214625.42750000005","25","false"
"70","0","45","true","70","32.5","105","true","70","20","5","true","70","214625.42750000005","25","false"
"71","0","45","true","71","32.5","105","true","71","20","5","true","71","214625.42750000005","25","false"
"72","0","45","true","72","32.5","105","true","72","20","5","true","72","222351.98250000004","25","false"
"73","0","45","true","73","32.5","105","true","73","20","5","true","73","222351.98250000004","25","false"
"74","0","45","true","74","32.5","105","true","74","20","5","true","74","222351.98250000004","25","false"
"75","0","45","true","75","32.5","105","true","75","20","5","true","75","222351.98250000004","25","false"
"76","0","45","true","76","32.5","105","true","76","20","5","true","76","231819.32000000004","25","false"
"77","0","45","true","77","32.5","105","true","77","20","5","true","77","231819.32000000004","25","false"
"78","0","45","true","78","32.5","105","true","78","20","5","true","78","231819.32000000004","25","false"
"79","0","45","true","79","32.5","105","true","79","20","5","true","79","231819.32000000004","25","false"
"80","0","45","true","80","32.5","105","true","80","20","5","true","80","238384.83500000002","25","false"
